Pincode,QWIK GNG.,Del Serv.,Shadowfax Serv.,Bluedart Serv,Qwik HD.,Del HD.,City,State,Zone,GNG P1,HD P1
110001,Active,Active,InActive,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110002,Active,Active,InActive,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110003,Active,Active,Not active/Embargo,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110004,Active,Active,InActive,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110005,Active,Active,Not active/Embargo,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110006,Active,Active,InActive,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110007,Active,Active,Active,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110008,Active,Active,Active,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110009,Active,Active,Not active/Embargo,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110010,Active,Active,InActive,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110011,Active,Active,Active,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110012,Active,Active,InActive,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110013,Active,Active,Active,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110014,Active,Active,Active,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110015,Active,Active,Active,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110016,Active,Active,InActive,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110017,Active,Active,Not active/Embargo,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110018,Active,Active,Not active/Embargo,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110019,Active,Active,Not active/Embargo,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
110020,Active,Active,Not active/Embargo,Active,Active,Active,DELHI,Delhi,NORTH,SJ93,SJ93
